State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
CA,Midpeninsula Regional Open Space District,Special District,06-03-2014,Bond for open space preservation and habitat restoration,Bond,,"Open space, parks, trails, recreation, watershed protection, wildlife habitat, farmland, forests","$300,000,000","$174,000,000","$300,000,000","$174,000,000",yes,Pass,67.960494447335%,32.039505552665%,The measure requires a two-thirds vote in Midpen�s jurisdiction in San Mateo and Santa Clara counties and a portion of unincorporated Santa Cruz County,yes
CT,Old Saybrook,Municipal,07-08-2014,Bond for the purchase of 930-acre coastal forest,Bond,,"Open space, recreation, forest, trails, wildlife habitat, watershed protection","$3,000,000","$3,000,000","$3,000,000","$3,000,000",yes,Pass,89.21568627451%,10.78431372549%,,yes
MI,Commerce Township,Municipal,08-05-2014,"10-year, renewal of .3939 mill property tax for open space acquisition and park improvement",Property tax,,"Open space, parks, recreation","$6,658,920","$4,861,012","$6,658,920","$4,861,012",yes,Pass,58.751429972218%,41.248570027782%,Oakland County,yes
WA,Seattle Park District,Municipal,08-05-2014,$.33 per $1000 property tax increase and the creation of Seattle Park District,Property tax,,"Parks, recreation, open space, trails","$958,000,000","$40,000,000","$958,000,000","$40,000,000",yes,Pass,53.349952568996%,46.650047431004%,King County,yes
CA,San Luis Obispo,Municipal,11-04-2014,"8-year, .5 percent sales tax extension for essential services including open space acquisition and maintenance",Sales tax,,Open space,"$52,000,000","$2,600,000","$52,000,000","$2,600,000",yes,Pass,70.319046084434%,29.680953915566%,,yes
CA,Santa Clara County Open Space Authority,County,11-04-2014,"15-year. $24 parcel tax for open space, wildlife habitat, farmland and other natural areas",Other,Parcel tax,"Open space, parks, trails, recreation, watershed protection, wildlife habitat","$118,256,400","$43,500,000","$118,256,400","$43,500,000",yes,Pass,67.947368001212%,32.052631998788%,"Two-thirds required, Measure Q",yes
CA,Los Angeles County,County,11-04-2014,"30-year, $23 parcel tax for parks, recreation, and wildlife habitat",Other,Parcel tax,"Parks, recreation, watershed protection, wildlife habitat","$1,627,458,840","$895,102,362",$0,$0,no,Fail,62.894924195563%,37.105075804437%,"2/3rds req., Measure P",yes
CA,California,State,11-04-2014,"Bond to protect water quality, supply and infrastructure",Bond,,"Watershed protection, wildlife habitat","$7,545,000,000","$1,500,000,000","$7,545,000,000","$1,500,000,000",yes,Pass,67.126231671072%,32.873768328928%,Prop 1,yes
CO,Larimer County,County,11-04-2014,"25-year, 0.25 cent sales tax extension to protect natural areas, open space, rivers and wildlife habitat",Sales tax,,"Open space, wildlife habitat, parks, trails, recreation, watershed protection","$262,500,000","$131,250,000","$262,500,000","$131,250,000",yes,Pass,81.670696240233%,18.329303759767%,,yes
CO,El Paso County,County,11-04-2014,"Surplus property tax revenue to be used for park, trail and open space maintenance projects",Other,TABOR Retain and spend,"Open space, recreation, wildlife habitat, trails","$2,044,758","$200,000","$2,044,758","$200,000",yes,Pass,70.396765666875%,29.603234333125%,Issue 1A TABOR retain and spend excess revenue. One time authorization. ,yes
CT,Coventry,Municipal,11-04-2014,Bond for open space and recreational purposes,Bond,,"Open space, recreation","$1,000,000","$1,000,000",,,no,Fail,49.98912807132%,50.01087192868%,,yes
CT,Cheshire,Municipal,11-04-2014,Bond for open space land acquisition,Bond,,Open space,"$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,51.244189226142%,48.755810773858%,,yes
FL,Florida,State,11-04-2014,"20-year, dedication of one-third of existing revenue generated by the documentary stamp tax for land conservation",Real estate transfer tax,," Open space, parks, recreation, farmland, watershed protection, trails, greenways, and forests","$18,000,000,000","$9,000,000,000","$18,000,000,000","$9,000,000,000",yes,Pass,74.960063933076%,25.039936066924%,"Constitutional Amendment 1, Citizen Petition",yes
IL,Butterfield Park District,Special District,11-04-2014,Bond to acquire and develop parkland,Bond,,"Parks, recreation, open space, trails","$2,985,000","$1,500,000","$2,985,000","$1,500,000",yes,Pass,69.851541682528%,30.148458317472%,DuPage County,yes
MA,Egremont,Municipal,11-04-2014,"Community Preservation Act, 3% property tax surcharge",Property tax,,"Open space, recreation","$1,433,035","$477,678",,,no,Fail,43.642611683849%,56.357388316151%,Berkshire County,yes
MA,Arlington,Municipal,11-04-2014,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$23,843,977","$7,947,992","$23,843,977","$7,947,992",yes,Pass,54.240120761227%,45.759879238773%,Middlesex County,yes
MA,Newbury,Municipal,11-04-2014,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$3,157,844","$1,052,615",,,no,Fail,47.547770700637%,52.452229299363%,"Essex County, Question 5",yes
MA,Otis,Municipal,11-04-2014,"Community Preservation Act, 3% property tax surcharge",Property tax,,"Open space, recreation","$1,824,706","$608,235",,,no,Fail,47.905282331512%,52.094717668488%,"Berkshire County, Question 5",yes
MA,Boxborough,Municipal,11-04-2014,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$3,150,504","$1,050,168","$3,150,504","$1,050,168",yes,Pass,59.250123334978%,40.749876665022%,Middlesex County,yes
MA,Amherst,Municipal,11-04-2014,"Community Preservation Act, 1.5% property tax surcharge increase",Property tax,,"Open space, recreation","$8,878,308","$2,959,436","$8,878,308","$2,959,436",yes,Pass,53.473344103393%,46.526655896607%,"Hampshire County, Question 5",yes
MA,Essex,Municipal,11-04-2014,"Community Preservation Act, .5% property tax surcharge increase",Property tax,,"Open space, recreation","$919,151","$306,384",,,no,Fail,39.415481832543%,60.584518167457%,Essex County,yes
MA,Berkley,Municipal,11-04-2014,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$1,292,894","$430,951",,,no,Fail,38.908188585608%,61.091811414392%,Bristol County,yes
MA,Woburn,Municipal,11-04-2014,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$13,806,785","$4,602,262",,,no,Fail,49.466762889905%,50.533237110095%,Middlesex County,yes
MA,New Bedford,Municipal,11-04-2014,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$15,132,220","$5,044,073","$15,132,220","$5,044,073",yes,Pass,54.30933432044%,45.69066567956%,Bristol County,yes
MD,Baltimore County,County,11-04-2014,Bond for agricultural and rural land preservation,Bond,,Farmland,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,67.222994319865%,32.777005680135%,,yes
MI,Acme Township,Municipal,11-04-2014,"10-year, .73 mill property tax increase for natural area conservation, open space, and farmland acquisition",Property tax,,"Open space, farmland, watershed protection, wildlife habitat","$2,180,160","$2,180,160","$2,180,160","$2,180,160",yes,Pass,56.735340729002%,43.264659270998%,Grand Traverse County,yes
MI,Webster Township,Municipal,11-04-2014,"10-year, .5 mill property tax renewal for open space and farmland protection",Property tax,,"Open space, farmland, habitat, watershed protection","$1,950,000","$1,950,000","$1,950,000","$1,950,000",yes,Pass,73.071011374116%,26.928988625884%,,yes
NC,Raleigh,Municipal,11-04-2014,Bond for parks and recreational facilities,Bond,,"Parks, recreation, trails","$91,775,000","$10,000,000","$91,775,000","$10,000,000",yes,Pass,68.017014849463%,31.982985150537%,Wake County,yes
ND,North Dakota,State,11-04-2014,"25-year, dedication of 5 percent the oil and gas extraction tax to protect clean water, wildlife habitat and parks",Other,Oil and gas extraction tax,"Open space, parks, trails, recreation, watershed protection, wildlife habitat, farmland, forests","$1,875,000,000","$1,875,000,000",,,no,Fail,20.620917635813%,79.379082364187%,"Constitutional Amendment Measure 5, Citizen petition",yes
NJ,Hopewell Township,Municipal,11-04-2014,"1 cent per $100 property tax increase for open space, farmland, and recreation purposes",Property tax,,"Open space, recreation, farmland","$8,012,980","$8,012,980",,,no,Fail,47.44844459979%,52.55155540021%,Mercer County,yes
NJ,New Jersey,State,11-04-2014,"Dedication of corporate business tax revenue for open space, farmland, historic sites and flood-prone areas",Other,Corporate business tax,"Open space, farmland, watershed protection","$2,800,000,000","$2,150,000,000","$2,800,000,000","$2,150,000,000",yes,Pass,64.777488670674%,35.222511329326%,"Const. Amendment.  4 percent of CBT would be dedicated for the first 5 years then 6 percent each year after, Public Question 2",yes
NJ,Plainfield,Municipal,11-04-2014,.02 cent per $100 property tax increase to establish a Municipal Open Space Recreation Trust Fund,Property tax,,"Open space, recreation, parks","$2,616,721","$2,616,721","$2,616,721","$2,616,721",yes,Pass,64.119340486784%,35.880659513216%,Union County,yes
NM,Bernalillo County,County,11-04-2014,"15-year, .20 mill property tax levy for open space and other natural areas acquisition and maintenance",Property tax,,"Open space, parks, trails, recreation, forests, farmland, watershed protection, wildlife habitat","$41,804,640","$28,845,202","$41,804,640","$28,845,202",yes,Pass,72.406606345668%,27.593393654332%,,yes
NY,Suffolk County,County,11-04-2014,Bond for open space acquisitions and water quality improvements,Bond,,"Open space, watershed protection","$29,400,000","$20,000,000","$29,400,000","$20,000,000",yes,Pass,65.774188705971%,34.225811294029%,Proposition 5,yes
OH,Westerville,Municipal,11-04-2014,"20-year, extension of ,25 percent income tax for parks, recreation and open space",Income tax,,"Parks, recreation, open space, trails","$100,000,000","$5,000,000","$100,000,000","$5,000,000",yes,Pass,61.847133757962%,38.152866242038%,"Franklin and Delaware Counties, Issue 24",yes
OH,Ashtabula County MetroParks,County,11-04-2014,,Property tax,,,,,,,yes,Pass,53.342046303211%,46.657953696789%,,yes
Ore,North Clackamas Parks and Recreation District,Special District,11-04-2014,.89 per $1000 property tax for parks and recreation,Property tax,,"Open space, recreation, parks, trails","$202,739,360","$16,219,149",,,no,Fail,45.973406924235%,54.026593075765%,"Clackamas County, Measure 3-451",yes
PA,Williams Township,Municipal,11-04-2014,Continuation of .25 percent earned income tax for open space and farmland preservation,Income tax,,"Open space, farmland, forests","$8,000,000","$8,000,000",,,no,Fail,49.660523763337%,50.339476236663%,Northampton County,yes
PA,Patton Township,Municipal,11-04-2014,Bond for open space and farmland preservation,Bond,,"Open space, farmland","$3,500,000","$3,500,000","$3,500,000","$3,500,000",yes,Pass,63.508118179398%,36.491881820602%,Centre County,yes
RI,Rhode Island,State,11-04-2014,Bond for clean water and open space,Bond,,"Watershed protection, open space, recreation, farmland","$53,000,000","$10,000,000","$53,000,000","$10,000,000",yes,Pass,71.206296603148%,28.793703396852%,Question 7,yes
SC,Beaufort County,County,11-04-2014,Bond for land acquisition and preservation,Bond,,"Open space, parks, trails, recreation, farmland, watershed protection, wildlife habitat","$20,000,000","$20,000,000","$20,000,000","$20,000,000",yes,Pass,73.027770407712%,26.972229592288%,,yes
TX,Arlington,Municipal,11-04-2014,Bond for parks and recreation,Bond,,"Open space, parks, recreation","$60,000,000","$1,000,000","$60,000,000","$1,000,000",yes,Pass,67.055964142546%,32.944035857454%,Proposition 2,yes
TX,Buda,Municipal,11-04-2014,Bond for parks and recreation,Bond,,"Parks, recreation","$8,000,000","$1,100,000","$8,000,000","$1,100,000",yes,Pass,59.132007233273%,40.867992766727%,"Hays County, Prop 5",yes
UT,Snyderville Basin Special Recreation District,Special District,11-04-2014,"Bond for open space, trails and recreational facilities",Bond,,"Open space, parks, trails, recreation","$25,000,000","$15,000,000","$25,000,000","$15,000,000",yes,Pass,71.75764614789%,28.24235385211%,Summit County,yes
VA,Arlington County,County,11-04-2014,Bond for local parks and recreation,Bond,,"Parks, recreation, open space","$13,070,000","$2,000,000","$13,070,000","$2,000,000",yes,Pass,70.544075886653%,29.455924113347%,Question 1,yes
WA,Benton County,County,11-04-2014,"10-year, $.0625 per $1000 property tax increase for open space and natural areas",Property tax,,"Open space, parks, trails, recreation, watershed protection, wildlife habitat, farmland, forests","$9,750,000","$8,287,500",,,no,Fail,47.451077438514%,52.548922561486%,Advisory Proposition 14-7 ,yes
WA,Bothell,Municipal,11-04-2014,Bond for park improvements and open space,Bond,,"Open space, parks, trails, recreation","$42,000,000","$5,460,000",,,no,Fail,46.660972200652%,53.339027799348%,"King County and Snohomish County, 60% yes vote and a minimum turnout of 3,663 (Washington Constitution, article VII, section 2(b))",yes
WA,Bainbridge Island Metropolitan Park and Recreation District ,Municipal,02-10-2015,Bond for the acquisition and development of 23 acres for new parkland,Bond,,"Parks, open space, recreation","$5,900,000","$5,670,000","$5,900,000","$5,670,000",yes,Pass,69.63282937365%,30.36717062635%,"2014 Turnout � 11,835, 40% � 4,734, 60% � 2,841 For approval, there must be 40% turnout  AND 60% or more must vote Approved for the measure to pass. Kitsap County",yes
CT,East Haddam,Municipal,03-24-2015,Bond for 19-acre Zeleznicky property ,Bond,,Open space,"$127,500","$127,500","$127,500","$127,500",yes,Pass,55.545112781955%,44.454887218045%,,yes
CT,East Haddam,Municipal,03-24-2015,Bond for 207-acre property for open space,Bond,,Open space,"$767,000","$767,000","$767,000","$767,000",yes,Pass,56.349952963311%,43.650047036689%,,yes
IL,St. Charles Park District,Special District,04-07-2015,Bond for parks and recreation,Bond,,"Parks, recreation, trails, open space","$28,000,000","$2,525,856",,,no,Fail,24.350940017905%,75.649059982095%,Kane and DuPage Counties,yes
MT,Whitefish,Municipal,04-28-2015,"10-year, 1 percent resort tax increase to purchase conservation easement in and around Haskill Basin",Other,Resort tax,"Watershed protection, wildlife habitat, recreation","$13,808,723","$8,000,000","$13,808,723","$8,000,000",yes,Pass,83.74695863747%,16.25304136253%,Flathead County,yes
TX,San Antonio,Municipal,05-09-2015,5-year extension of 1/8 of 1 percent sales tax for the Linear Creekway Parks Development Program ,Sales tax,,,"$80,000,000","$80,000,000","$80,000,000","$80,000,000",yes,Pass,74.904431034068%,25.095568965932%,"Bexar County, Prop 2",yes
TX,San Antonio,Municipal,05-09-2015,5-year extension of 1/8 of 1 percent sales tax for the Edwards Aquifer Protection Program,Sales tax,,,"$100,000,000","$100,000,000","$100,000,000","$100,000,000",yes,Pass,78.143193582709%,21.856806417291%,Bexar County,yes
TX,Frisco,Municipal,05-09-2015,Bond for park acquisition and recreational facilities,Bond,,"Parks, recreation","$32,000,000","$21,125,000","$32,000,000","$21,125,000",yes,Pass,77.10819009100%,22.891809908999%,"Collin and Denton Counties, Proposition 6",yes
AZ,Prescott,Municipal,08-25-2015,"20-year, .08 percent sales tax dedicated to the acquisition, maintenance, and improvement of open space",Sales tax,"Also called ""transaction privilege tax""",Open space,"$20,800,000","$10,400,000",,,no,Fail,42.327724358974%,57.672275641026%,"Yavapai County, Question 4",yes
OK,Norman,Municipal,10-13-2015,"15-year, .5 percent sales tax for parks and recreation",Sales tax,,"Parks, recreation, trails","$209,000,000","$10,000,000","$209,000,000","$10,000,000",yes,Pass,72.056726350816%,27.943273649184%,Cleveland County,yes
AZ,Pima County,County,11-03-2015,"Proposition 430, Bond for natural area conservation and historic preservation",Bond,,"Open space, watershed protection","$112,050,000","$98,750,000",,,no,Fail,39.75266094492%,60.24733905508%,Proposition 430,yes
AZ,Pima County,County,11-03-2015,"Proposition 426, Bond for economic development including Davis Monthan Air Force Base Land Acquisitions",Bond,,Open space,"$91,375,000","$5,000,000",,,no,Fail,39.283141791285%,60.716858208715%,Proposition 426,yes
AZ,Pima County,County,11-03-2015,"Proposition 431, Bond for flood control and drainage",Bond,,Watershed protection,"$16,935,000","$5,000,000",,,no,Fail,48.425777989087%,51.574222010913%,Proposition 431,yes
CA,San Carlos,Municipal,11-03-2015,Bond for the purchase of 23.5-acre parcel for parkland,Bond,,"Parks, recreation, open space","$45,000,000","$45,000,000",,,no,Fail,39.493201483313%,60.506798516687%,"2/3rds required for passage, San Mateo County, mail ballot, Measure V",yes
CO,Parker,Municipal,11-03-2015,".5 sales tax increase for parks, recreation, trails and open space ",Sales tax,,"Parks, recreation, trails and open space ","$114,000,000","$38,000,000",,,no,Fail,29.178262780138%,70.821737219862%,"Douglas County, Measure 2A",yes
CO,Prospect Recreation and Park District,Special District,11-03-2015,Bond for the acquisition of Applewood Golf Course for recreational opportunities and open space preservation,Bond,,"Open space, recreation, watershed protection, wildlife habitat","$9,000,000","$9,000,000","$9,000,000","$9,000,000",yes,Pass,69.216975493126%,30.783024506874%,"Jefferson County, 5C",yes
CO,Manitou Springs,Municipal,11-03-2015,"12-year, extension of .8 mill property tax levy for open space and parks",Property tax,,"Open space, parks","$559,509","$369,275","$559,509","$369,275",yes,Pass,68.933539412674%,31.066460587326%,"2F, El Paso County",yes
CO,Manitou Springs,Municipal,11-03-2015,"12-year, extension of .1 percent sales tax for parks and open space",Sales tax,,"Open space, parks","$727,430","$727,430","$727,430","$727,430",yes,Pass,70.94455852156%,29.05544147844%,"2G, El Paso County",yes
CT,Southington,Municipal,11-03-2015,Bond for open space acquisition,Bond,,Open space,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,67.247177516214%,32.752822483786%,Question 1,yes
CT,Cheshire,Municipal,11-03-2015,Bond for open space acquisition,Bond,,"Open space, recreation","$500,000","$500,000","$500,000","$500,000",yes,Pass,63.623789764869%,36.376210235131%,,yes
ID,Boise,Municipal,11-03-2015,"2-year, property tax levy for the protection of habitat, water quality and natural areas",Property tax,,"Open space, wildlife habitat, watershed protection","$5,000,000","$5,000,000","$5,000,000","$5,000,000",yes,Pass,74.38783869891%,25.61216130109%,Due to clerical error levy was not collected for one year.  In November 2017 voters will vote to reauthorize the levy.  ,yes
MA,Woburn,Municipal,11-03-2015,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$15,333,033","$5,111,011",,,no,Fail,34.393013100437%,65.606986899563%,"Middlesex County, Question 1",yes
MA,Medford,Municipal,11-03-2015,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$26,857,213","$8,952,404","$26,857,213","$8,952,404",yes,Pass,55.616438356164%,44.383561643836%,"Middlesex County, Citizen Petition",yes
MA,Malden,Municipal,11-03-2015,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$8,689,635","$2,896,612","$8,689,635","$2,896,612",yes,Pass,61.026478055858%,38.973521944142%,"Middlesex County, Citizen Petition, Q3",yes
ME,Kittery,Municipal,11-03-2015,Bond for Kittery Land Trust�s purchase of the land at the Brave Boat Headwaters Preserve in Kittery Point,Bond,,"Open space, parks, wildlife habitat, watershed protection, trails, recreation","$275,000","$275,000","$275,000","$275,000",yes,Pass,76.535433070866%,23.464566929134%,,yes
MO,Columbia,Municipal,11-03-2015,"6-year, 1/8 cent sales tax for parks and new land acquisition	",Sales tax,,"Open space, recreation, parks, trails, greenways","$18,400,000","$5,505,000","$18,400,000","$5,505,000",yes,Pass,70.714035292743%,29.285964707257%,Boone County,yes
NJ,Sussex County,County,11-03-2015,"10-year, half-cent to 1.5 cent property tax renewal for farmland, recreation and open space trust fund",Property tax,,"Open space, recreation, farmland","$3,950,000","$3,950,000","$3,950,000","$3,950,000",yes,Pass,70.185653605689%,29.814346394311%,"The tax will discontinue once the objective of the program have been met or on January 1, 2026, whichever is the first to occur",yes
NJ,Stillwater Township,Municipal,11-03-2015,"10-year, .5 to 2 cents per $100 property tax to establish an open space, farmland and recreation trust fund",Property tax,,"Open space, recreation, farmland","$124,700","$124,700","$124,700","$124,700",yes,Pass,54.807692307692%,45.192307692308%,Sussex County,yes
NJ,Alpine Borough,Municipal,11-03-2015,"10-year, renewal of .5 cent property tax for the acquisition, development and maintenance of open space and farmland",Property tax,,"Open space, recreation, farmland","$980,180","$980,180","$980,180","$980,180",yes,Pass,68.589743589744%,31.410256410256%,Bergen County,yes
NJ,Woodcliff Lake Borough,Municipal,11-03-2015,"5-year, continuation of 1 to 2 cent cent open space tax",Property tax,,"Open space, recreation, farmland","$948,846","$948,846","$948,846","$948,846",yes,Pass,63.071428571429%,36.928571428571%,Bergen County,yes
OH,Medina County Park District,County,11-03-2015,"10-year, 1 mill renewal and increase for parks, recreation, and preservation of natural resources",Property tax,,"Parks, recreation, open space, trails","$40,000,000","$14,400,000","$40,000,000","$14,400,000",yes,Pass,60.383680991874%,39.616319008126%,Issue #17,yes
PA,East Nottingham Township,Municipal,11-03-2015,.5 percent earned income tax increase for preservation of open space and farmland,Income tax,,"Open space, recreation, farmland","$14,000,000","$14,000,000","$14,000,000","$14,000,000",yes,Pass,55.75221238938%,44.24778761062%,Chester County,yes
TX,Harris County,County,11-03-2015,Bond for parks and recreation,Bond,,"Parks, recreation","$60,000,000","$4,000,000","$60,000,000","$4,000,000",yes,Pass,63.484874334887%,36.515125665113%,Proposition 2,yes
UT,South Salt Lake City,Municipal,11-03-2015,"Bond for parks, open space, trails, and recreational facilities",Bond,,"Open space, parks, trails, recreation","$13,000,000","$9,750,000",,,no,Fail,48.593682388576%,51.406317611424%,Salt Lake County,yes
WA,Olympia,Municipal,11-03-2015,54 cents per $1000 property tax increase to create and fund the Olympia Metropolitan Park District,Property tax,,"Parks, recreation, open space","$60,000,000","$20,000,000","$60,000,000","$20,000,000",yes,Pass,60.092165898618%,39.907834101382%,Thurston County,yes
MA,Princeton,Municipal,12-17-2015,Bond for the purchase of 132 acres for conservation and passive recreation,Bond,,"Farmland, recreation","$650,000","$650,000","$650,000","$650,000",yes,Pass,56.514657980456%,43.485342019544%,"Debt exclusion, Worcester County",yes
OH,MetroParks of Butler County,County,03-15-2016,"6-year, .05 mill levy renewal and .02 mill levy increase to maintain, operate and improve existing parks and natural areas",Property tax,,"Open space, recreation, trails, parks, watershed protection, wildlife habitat, forests","$30,957,240","$8,668,027","$30,957,240","$8,668,027",yes,Pass,65.7178453027%,34.2821546973%,Issue 6,yes
CO,Eagle,Municipal,04-05-2016,"30-year, .5 percent sales tax increase for acquiring, developing, and constructing, a town river park",Sales tax,,"Open space, watershed protection, wildlife habitat, parks, recreation","$16,470,000","$2,000,000","$16,470,000","$2,000,000",yes,Pass,62.024500322373%,37.975499677627%,"Eagle County, Mail Ballot",yes
OK,Tulsa,Municipal,04-05-2016,"15-year, sales tax increase for economic development including protection of Turkey Mountain Urban Wilderness",Sales tax,,"Wildlife habitat, recreation","$510,634,000","$7,600,000","$510,634,000","$7,600,000",yes,Pass,63.278797996661%,36.721202003339%,"Tulsa County, Proposition 3, Sales tax increase .305% until 2017, then increase to .805% until 2021, then decrease to .305% in 2025 and expires in 2031 ",yes
MA,South Hadley,Municipal,04-12-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$4,326,881","$1,442,294",,,no,Fail,49.205252246026%,50.794747753974%,Hampshire County,yes
MA,Abington,Municipal,04-30-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$6,035,123","$2,011,708","$6,035,123","$2,011,708",yes,Pass,57.633892885691%,42.366107114309%,"Plymouth County, Question 1",yes
NY,Dryden,Municipal,05-03-2016,Appropriation to purchase 15-acre parcel for parkland,Other,Appropriation,"Parks, trails, recreation, open space","$71,800","$71,800",,,no,Fail,44.06779661017%,55.93220338983%,Tompkins County,yes
TX,Allen,Municipal,05-07-2016,Bond for parks and recreation,Bond,,"Parks, recreation, open space, trails","$27,000,000","$3,000,000","$27,000,000","$3,000,000",yes,Pass,79.778330694413%,20.221669305587%,"Collin County, Prop 2",yes
MA,Essex,Municipal,05-09-2016,"Community Preservation Act, 1% property tax surcharge increase",Property tax,,"Open space, recreation","$894,693","$298,231","$894,693","$298,231",yes,Pass,64.784053156146%,35.215946843854%,"Essex County, would increase the current .5 percent surcharge to 1.5 percent",yes
MA,Oxford,Municipal,05-17-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$3,813,163","$1,271,054",,,no,Fail,43.96551724138%,56.03448275862%,"Worcester County, Question 1",yes
GA,Alpharetta,Municipal,05-24-2016,Bond for parks and recreation,Bond,,"Parks, recreation, open space, trails, greenways","$24,900,000","$11,950,000","$24,900,000","$11,950,000",yes,Pass,81.684150836405%,18.315849163595%,Fulton County,yes
CA,Santa Clara County,County,06-07-2016,"15-year, extension of $1.5 cents per $100 property tax allocation for the Park Charter Fund",Other,Charter Amendment,"Open space, recreation, parks, trails","$795,000,000","$79,500,000","$795,000,000","$79,500,000",yes,Pass,78.08227437857%,21.91772562143%,"Measure A, 50% plus 1req.",yes
CA,San Francisco,Municipal,06-07-2016,15-year extension of open space fund and budget allocation and increase for parks and open space,Other,Budget allocation,"Open space, recreation, parks","$2,662,900,000","$133,145,000","$2,662,900,000","$133,145,000",yes,Pass,60.046740735768%,39.953259264232%,Proposition B,yes
MI,Ottawa County,County,08-02-2016,"10-year, .33 mill extension for parks, recreation and open space",Property tax,,"Parks, recreation, trails, open space","$35,000,000","$3,325,000","$35,000,000","$3,325,000",yes,Pass,72.261895812975%,27.738104187025%,,yes
MI,Augusta Charter Township,Municipal,08-02-2016,"10-year, .1 mill property tax increase for land preservation",Property tax,,"Open space, recreation, parks, trails, wildlife habitat, watershed protection, farmland","$201,075","$201,075","$201,075","$201,075",yes,Pass,50.504124656279%,49.495875343721%,Washtenaw  County,yes
MI,Ada Township,Municipal,08-02-2016,"10-year, .65 mill property tax to provide funds for parks, recreation, and land preservation",Property tax,,"Open space, recreation, parks, trails","$6,122,770","$3,061,385","$6,122,770","$3,061,385",yes,Pass,69.874804381847%,30.125195618153%,Kent County,yes
AZ,Peoria,Municipal,11-08-2016,"4/10th of a cent sales tax increase for parks, open space, trails and public safety",Sales tax,,"Open space, recreation, parks","$288,000,000","$114,962,200",,,no,Fail,44.425602851148%,55.574397148852%,"Maricopa County, Proposition 400",yes
CA,Los Angeles County Regional Park and  Open Space District,Special District,11-08-2016,"$1.5 cent levy per square foot parcel tax for parks, recreation, and wildlife habitat",Other,Parcel tax,"Parks, recreation, watershed protection, wildlife habitat, trails, open space","$1,890,000,000","$491,400,000","$1,890,000,000","$491,400,000",yes,Pass,74.901658899949%,25.098341100051%,"2/3rds req., Measure A",yes
CA,Napa County Regional Park and Open Space District,County,11-08-2016,"14-year, .25 percent sales tax increase for the protection and restoration of watersheds and open spaces",Sales tax,,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$112,000,000","$72,800,000",,,no,Fail,64.700628628354%,35.299371371646%,"Measure Z, 2/3rds req.",yes
CA,San Diego County,County,11-08-2016,"40-year, .5 cent sales tax increase for highway, transit, open space, bike, and pedestrian projects",Sales tax,,"Open space, wildlife habitat, watershed protection","$18,000,000,000","$2,000,000,000",,,no,Fail,58.368914349443%,41.631085650557%,"Measure A, 2/3rd req.",yes
CA,Sonoma County,County,11-08-2016,"10-Year, .5 cent sales tax increase for regional parks",Sales tax,,"Parks, recreation, open space, trails, watershed protection, wildlife habitat","$100,000,000","$23,750,000",,,no,Fail,65.115346038114%,34.884653961886%,"Measure J, If measure had passed, tax applicable only to unincorporated portion of county. Only voters in unincorporated portion of county voted on this measure. 313 of 439 precincts",yes
CA,Monterey Peninsula Regional Park District,Special District,11-08-2016,"$25.26 parcel tax for open space, parks, habitat and protection of other natural areas",Other,Parcel tax,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$24,000,000","$16,800,000","$24,000,000","$16,800,000",yes,Pass,71.876494170437%,28.123505829563%,"2/3rds vote req.  Vote by mail option, Measure E",yes
CA,Mountain Recreation and Conservation Authority,Special District,11-08-2016,"$15 per year parcel tax land acquisition, wildfire prevention and parks",Other,Parcel tax,"Open space, wildlife habitat, watershed protection, parks","$4,820,000","$2,892,000","$4,820,000","$2,892,000",yes,Pass,76.98618967538%,23.01381032462%,"Woodland Hills, Encino, and Tarzana, Measure FF",yes
CA,Mountain Recreation and Conservation Authority,Special District,11-08-2016,"$35 per year parcel tax land acquisition, wildfire prevention and parks",Other,Parcel tax,"Open space, parks, wildlife habitat","$19,900,000","$11,940,000","$19,900,000","$11,940,000",yes,Pass,83.682320838719%,16.317679161281%,"Santa Monica Mountains and Hollywood Hills east of 405
freeway, Measure GG",yes
